"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","LandingPage","3","0","","0"
"1","","0","LoginPage","3","0","","0"
"1","","0","CartPage","5","0","","0"
"0","","0","RegisterPage","4","0","","0"
"0","","0","HomePage","9","0","","0"
"0","","0","AdminBarChartPage","4","0","","0"
"0","","1","CheckoutPage","3","0","","0"
"0","","0","OrdersHistoryPage","2","0","","0"
"0","","0","AdminDashboardPage","7","0","","0"
"0","","0","AdminPieChartPage","5","0","","0"
"0","","0","WishlistPage","4","0","","0"
"0","","0","","2","0","","0"
"0","","0","AdminEditItemPage","4","0","","0"
"0","","0","ItemPage","3","0","","0"
"0","","1","AdminAddItemPage","3","0","","0"
